NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Tip lucrare,Variante de ocolire,viz_name,map_zoom
6.23,DN25,47+834,48+893,2025-12-05 10:07:00,2026-12-31 23:59:00,PISCU (GL) - PISCU (GL),Prabusire grinda + mana curenta la podul peste paraul Suhurului,"Latime parte carosabila stanga 4,00 mLatime parte carosabila dreapta 4,00 mSe circula cu limitarea vitezei la max. 5km/h.MTMA  15 toneSe circula deviat pe un singur fir, cu semafor",DN25,"['47', '834', '48', '893']"
6.24,DN2B,124+955,125+626,2026-02-16 11:51:00,2026-08-31 17:00:00,SENDRENI (GL) - ,Lucrari de punere in siguranta a podului rutier peste raul Siret.,Stabilirea circulatiei alternante pe tablierul podului peste raul Siret.Sensul prioritar a fost stabilit dinspre Braila catre Sendreni. Se circula cu limitarea vitezei la max. 30km/h.,DN2B,"['124', '955', '125', '626']"
6.25,DN2B,47+938,49+088,2026-01-26 12:00:00,2026-09-15 17:00:00,FAUREI (BR) - FAUREI (BR),"Se executa lucrari in zona Pasajului peste CF la Faurei, pe ambele sensuri de mers, pana la aducerea pasajului peste C.F. la starea tehnica normala de exploatare.",Se instituie restrictia provizorie de interzicere a circulatiei vehiculelor cu M.T.M.A.> 30t.Devierea circulatiei vehiculelor cu M.T.M.A.> 30t se va face pe ruta: DN2B km 47+938 - DJ203 - DJ 203S - DN2B km 49+088 - in ambele sensuri.,DN2B,"['47', '938', '49', '88']"
6.26,DN2B,125+500,125+920,2026-07-01 08:00:00,2026-07-31 23:59:00,SENDRENI (GL) - ,Alunecare de teren in zona rampei pasajului CF de la km 125+850.,"Drum ingustat cu prioritate fata de circulatia din sens invers.Latime parte carosabila stanga 3,00 mLatime parte carosabila dreapta 3,5 mSe circula cu limitarea vitezei la max. 30km/h.",DN2B,"['125', '500', '125', '920']"
6.27,DN2C,2+339,16+283,2026-05-13 11:57:00,2026-07-31 23:59:00,SMEENI (BZ) - GHERASENI (BZ),"Infiintare sistem inteligent de distributie gaze naturale in Comunele Smeeni - satele apartinatoare: Smeei si Udati - Manzu si Gheraseni - sat apartinator Gheraseni, judetul Buzau.",Se aplica scheme de semnalizare pentru:- Lucrari la care circulatia se desfasoara simultan in ambele sensuri.- Circulatia alternanta dirijata cu piloti la lucrari pe maxim 1/2 din cale.- Semnalizarea punctelor de lucru a caror pozitie se modifica in cursul zilei.- Semnalizarea punctelor de lucru a caror pozitie se modifica in cursul zilei si se vor adapta punctelor de lucru.,DN2C,"['2', '339', '16', '283']"
6.28,DN2C,29+077,42+801,2026-05-12 10:17:00,2026-07-31 23:59:00,POGOANELE (BZ) - POGOANELE (BZ),"Extinderea sistemului de canalizare apa uzata si menajera din Oras Pogoanele, in localitatea Padina, jud. Buzau",Se aplica scheme de semnalizare pentru: - circulatie alternanta dirijata prin indicatoare la lucrari pe max. 1/2 din cale- circulatie alternanta dirijata cu piloti la lucrari pe max. 1/2  din cale- semnalizarea punctelor de lucru a caror pozitie se modifica in cursul zilei,DN2C,"['29', '77', '42', '801']"
6.29,DN2E,79+179,79+309,2026-01-29 10:00:00,2027-05-26 22:00:00,VICOVU DE SUS (SV) - VICOVU DE SUS (SV),Lucrari de reabilitare la nivelul infrastructurii si suprastructurii podului.,"Sens de deplasare Vicovu de Jos - frontiera Ucraina si retur.    DN2E(km76+664) inters.cu DN2H(km32+200),Vicovu de Jos - DN2H Vicovu de Jos - Bivolarie - inters.DN2H(km36+270) cu str.N.Balcescu - str.N.Balcescu - inters.str.N.Balcescu cu DN2E(km83+363),VICOVU DE SUS - frontiera Ucraina.Sens de deplasare Vicovu de Jos - Bilca si retur.    DN2E(km78+664)inters. cu DN2H(km32+200,Vicovu de Jos -DN2H Vicovu de Jos-Bivolarie - inters. DN2H(km36+270) cu str.N.Balcescu -str.N.Balcescu - inters. str.N.Balcescu cu DN2E(km83+363,VICOVU DE SUS - inters. DN2E(km79+644) cu DJ178C(km24+000),VICOVU DE SUS - DJ178C,Bilca.    Circulatia riveranilor/proprietarilor de terenuri va fi permisa pe sectoarele DN2E cuprinse intre km78+664-79+100 si km79+300-79+644 in conformitate cu semnalizarea rutiera temporara corespunzatoare.",DN2E,"['79', '179', '79', '309']"
6.3,DN2S,3+000,7+000,2026-06-15 08:08:00,2026-08-31 23:59:00,VADENI (BR) - SMARDAN (TL),"Pe Podul Suspendat (Braila)se executa lucrari de remediere, frezare si asternere a imbracamintei bituminoase pe calea 2 de rulare, si se deviaza traficul pe calea 1 in zona km 7, unde circulatia se va desfasura in ambele sensuri pana in zona km 3.","Schemele de semnalizare vor fi in conformitate cu Normele Metodologice privind conditiile de inchidere a circulatiei in vederea executarii de lucrari in zona drumului public, si anume:     D.5a si D.5b - devierea partiala a circulatiei de pe o cale pe cealalta cale (schemele de semnalizare vor fi adaptate situatiei din teren)",DN2S,"['3', '0', '7', '0']"
6.31,DN2S,1+180,8+000,2026-06-17 15:00:00,2026-07-31 23:59:00, - ,Aviz restrictie circulatie nr: DRDP: 34909/30.12.2024,"Lucrari de montare si verificare parapet, insamantare taluzuri, frezare si asternere imbracaminte bituminoasa si vopsit beton viaduct de Acces Braila , in cadrul obiectivului  Proiectare si executie Pod Suspendat peste Dunare in zona Braila , lucrari excutate in cadrul Contractului nr. 92/4113/19.01.2018",DN2S,"['1', '180', '8', '0']"
6.32,DN31,2+500,10+000,2026-05-08 08:00:00,2026-12-31 23:59:00,RASA (CL) - GRADISTEA (CL),Lucrari de reparatii asfaltice pe suprafete extinse.,Implicatia asupra traficului - inchiderea etapizata a sectoarelor de lucru pe banda de circulatie alternanta dirijata prin indicatoare/ stalpi/ piloti/ semafoare la lucrari pe jumatate de cale.,DN31,"['2', '500', '10', '0']"
