NR. CRT.,Indicativ drum,De la km,Pana la km,De la data,Pana la data,Intre localitatile,Cauza,Masuri de remediere si variante de ocolire,viz_name,map_zoom
2.11,DN22D,40+000,52+862,2023-11-26 05:00:00,2023-11-26 21:00:00,HORIA (CT) - CIUCUROVA (TL),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 2 utilaje de deszapezire cu lama si raspanditor,DN22D,"['40', '0', '52', '862']"
2.12,DN22D,52+862,81+325,2023-11-26 06:30:00,2023-11-26 21:00:00,CIUCUROVA (TL) - CAUGAGIA (TL),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 2 ATB-uri dotate cu lama si raspanditor,DN22D,"['52', '862', '81', '325']"
2.13,DN22D,0+000,40+000,2023-11-26 07:00:00,2023-11-26 21:00:00,MACIN (TL) - HORIA (TL),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 2 ATB-uri dotate cu lama si raspanditor,DN22D,"['0', '0', '40', '0']"
2.14,DN22E,0+000,14+200,2023-11-26 08:15:00,2023-11-26 21:00:00,GARVAN (TL) - I.C.BRATIANU (TL),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 1 ATB-uri dotate cu lama si raspanditor,DN22E,"['0', '0', '14', '200']"
2.15,DN22F,0+000,14+000,2023-11-26 07:30:00,2023-11-26 21:00:00,HORIA (TL) - NALBANT (TL),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 1 ATB-uri dotate cu lama si raspanditor,DN22F,"['0', '0', '14', '0']"
2.16,DN22J,0+000,4+365,2023-11-26 07:00:00,2023-11-26 23:59:00, - ,COD ROSU - viscol,,DN22J,"['0', '0', '4', '365']"
2.17,DN24A,32+000,96+000,2023-11-26 13:15:00,2023-11-26 23:59:00,MURGENI (VS) - HUSI (VS),"Ninsoare abundenta si viscol de sol, vizibilitate redusa.",Utilajele actioneaza pentru restabilirea circulatiei,DN24A,"['32', '0', '96', '0']"
2.18,DN26,4+910,81+138,2023-11-26 10:00:00,2023-11-26 23:59:00,GALATI (GL) - GANESTI (GL),COD ROSU - viscol,3 atb + lama + rsp,DN26,"['4', '910', '81', '138']"
2.19,DN26,81+000,96+000,2023-11-26 13:30:00,2023-11-26 23:59:00,BLAGESTI (VS) - MURGENI (VS),"Ninsoare abundenta si viscol de sol, vizibilitate redusa.",Utilajele actioneaza pentru restabilirea circulatiei.,DN26,"['81', '0', '96', '0']"
2.2,DN2A,116+000,182+000,2023-11-26 05:30:00,2023-11-26 21:00:00,GIURGENI (IL) - MIHAIL KOGALNICEANU (CT),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 4 ATB-uri dotate cu lama si raspanditor,DN2A,"['116', '0', '182', '0']"
2.21,DN2S,5+840,8+000,2023-11-26 14:00:00,2023-11-27 07:00:00,BRAILA (BR) - SMARDAN (TL),COD ROSU - viscol,1 atb + lama + rsp 2 unimog + lama + rsp,DN2S,"['5', '840', '8', '0']"
2.22,DN3,129+000,224+000,2023-11-26 06:00:00,2023-11-26 21:00:00,OSTROV (CT) - COBADIN (CT),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 4 utilaje de deszapezire cu lama si raspanditor si o autofreza,DN3,"['129', '0', '224', '0']"
2.23,DN38,18+000,53+000,2023-11-26 06:00:00,2023-11-26 21:00:00,TOPRAISAR (CT) - NEGRU VODA (CT),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 4 utilaje de deszapezire cu lama si raspanditor,DN38,"['18', '0', '53', '0']"
2.24,DN3B,64+000,96+732,2023-11-26 07:00:00,2023-11-26 21:00:00,BORCEA (CL) - GURA IALOMITEI (IL),"Ninsoare abundenta, viscol la sol, vizibilitate sub 10m",Se actioneaza cu 3 ATB-uri dotate cu lama si raspanditor,DN3B,"['64', '0', '96', '732']"
