Denumire,Timp,Info,Latitude,Longitude,Status,Tip vehicul,Sens
Porțile de Fier II,10,,44.309086364909426,22.569930550429717,green,Autoturisme,Ieșire
Porțile de Fier II,10,,44.309086364909426,22.569930550429717,green,Autoturisme,Intrare
Racovăț,10,,48.099012,26.281062,green,Autoturisme,Ieșire
Racovăț,10,,48.099012,26.281062,green,Autoturisme,Intrare
Rădăuți Prut,10,,48.252499210733916,26.803089363021854,green,Autoturisme,Ieșire
Rădăuți Prut,10,,48.252499210733916,26.803089363021854,green,Autoturisme,Intrare
Sculeni,10,,47.31616400549972,27.610375267906193,green,Autoturisme,Ieșire
Sculeni,20,,47.31616400549972,27.610375267906193,green,Autoturisme,Intrare
Sculeni,90,,47.31616400549972,27.610375267906193,red,Camioane,Ieșire
Sculeni,30,,47.31616400549972,27.610375267906193,orange,Camioane,Intrare
Sighetu Marmației,10,"TRAFIC AUTO RESTRICȚIONAT ÎN PERIOADA 15.09.-24.10.2025., de luni-vineri între orele 09.00-15.30, în vederea executării unor reparații",47.938771834787026,23.87753517983174,green,Autoturisme,Ieșire
Sighetu Marmației,10,"TRAFIC AUTO RESTRICȚIONAT ÎN PERIOADA 15.09.-24.10.2025., de luni-vineri între orele 09.00-15.30, în vederea executării unor reparații",47.938771834787026,23.87753517983174,green,Autoturisme,Intrare
Siret,20,Intrare: 3 artere; Iesire: 3 artere.,47.98636006999999,26.062595845606666,green,Autoturisme,Ieșire
Siret,20,Intrare: 3 artere; Iesire: 3 artere.,47.98636006999999,26.062595845606666,green,Autoturisme,Intrare
Siret,20,Intrare: 1 artera; Ieșire 2 artere.,47.98636006999999,26.062595845606666,green,Camioane,Ieșire
Siret,20,Intrare: 1 artera; Ieșire 2 artere.,47.98636006999999,26.062595845606666,green,Camioane,Intrare
Stînca,10,,47.833497321297024,27.22010850534423,green,Autoturisme,Ieșire
Stînca,10,,47.833497321297024,27.22010850534423,green,Autoturisme,Intrare
Stînca,10,,47.833497321297024,27.22010850534423,green,Camioane,Ieșire
Stînca,10,,47.833497321297024,27.22010850534423,green,Camioane,Intrare
Valcani,10,,45.992469691259394,20.361915707284922,green,Autoturisme,Ieșire
Valcani,10,,45.992469691259394,20.361915707284922,green,Autoturisme,Intrare
Vicovu de Sus,10,Intrare: 2 artere; Iesire 1 artera.,47.946829,25.62072,green,Autoturisme,Ieșire
Vicovu de Sus,10,Intrare: 2 artere; Iesire 1 artera.,47.946829,25.62072,green,Autoturisme,Intrare
