pozitie,url,angajator,detalii,publicat_in,expira_in,judet,url_judet,tip,updates
"Arhivar -1 post, Șofer I -1 post",https://posturi.gov.ro/anunt/arhivar-1-post-sofer-i-1-post/,Direcția de Sănătate Publică Giurgiu,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Giurgiu,https://posturi.gov.ro/?judet=Giurgiu,Permanent,
"muncitor calificat, economist, administrator, magaziner, infirmiera , ingrijitor",https://posturi.gov.ro/anunt/muncitor-calificat-economist-administrator-magaziner-infirmiera-ingrijitor/,DIRECTIA GENERALA DE ASISTENTA SOCIALA SI PROTECTIA COPILULUI BRASOV,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  23/09/2024,Braşov,https://posturi.gov.ro/?judet=Braşov,Permanent,
"infirmiera debutanta,ingrijitor curatenie",https://posturi.gov.ro/anunt/infirmiera-debutantaingrijitor-curatenie/,SPITALUL de URGENȚĂ TÂRGU-CĂRBUNEȘTI,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Gorj,https://posturi.gov.ro/?judet=Gorj,Permanent,
1(UNU) POST DE MEDIC SPECIALIST SPECIALITATEA RADIOLOGIE IMAGISTICA MEDICALA,https://posturi.gov.ro/anunt/1unu-post-de-medic-specialist-specialitatea-radiologie-imagistica-medicala/,SPITALUL CLINIC DE URGENTA PENTRU COPII MS CURIE,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bucureşti,https://posturi.gov.ro/?judet=Bucureşti,Permanent,
"Șofer, treapta I, M/G",https://posturi.gov.ro/anunt/sofer-treapta-i-m-g/,Muzeul Județean de Științele Naturii Prahova,"Funcție contractuală, Instituții județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Prahova,https://posturi.gov.ro/?judet=Prahova,Permanent,
Administrator patrimoniu – IS,https://posturi.gov.ro/anunt/administrator-patrimoniu-is-7/,"Grădinița cu Program Prelungit „Lumea Copiilor”, Constanța","Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Constanţa,https://posturi.gov.ro/?judet=Constanţa,Permanent,
"29 posturi, 5 functii",https://posturi.gov.ro/anunt/29-posturi-5-functii/,DGASPC Bacau,"Funcție contractuală, Consilii județene, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Bacău,https://posturi.gov.ro/?judet=Bacău,Permanent,
cercetator stiintific III,https://posturi.gov.ro/anunt/cercetator-stiintific-iii-2/,UNIVERSITATEA TRANSILVANIA DIN BRASOV,"Funcție contractuală, Instituții naționale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  16/09/2024,Braşov,https://posturi.gov.ro/?judet=Braşov,Temporar,
Secretar institutie/unitate de învățământ debutant S,https://posturi.gov.ro/anunt/secretar-institutie-unitate-de-invatamant-debutant-s-3/,Universitatea Alexandru Ioan Cuza din Iași,"Funcție contractuală, Instituții locale, Funcții de execuție","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Iaşi,https://posturi.gov.ro/?judet=Iaşi,Permanent,
"Șef centru, grad II",https://posturi.gov.ro/anunt/sef-centru-grad-ii-3/,Direcția Generală de Asistență Socială și Protecția Copilului Neamț,"Funcție contractuală, Instituții locale, Funcții de conducere","Publicat în: 9 septembrie,2024",Expiră in  20/09/2024,Neamţ,https://posturi.gov.ro/?judet=Neamţ,Permanent,
