"localitate","judet","cod_judet","siruta","tip_localitate","lat","long","populatie","namecheck"
"Lumina","Constanta","CT",63152,,"44.2898366826","28.5647904558",10348,"LUMINA"
"Mihail Kogălniceanu","Constanta","CT",62191,,"44.3686622119","28.463765339",10339,"MIHAIL KOGALNICEANU"
"Roznov","Neamt","NT",124117,,"46.8390420987","26.5114626693",10329,"RONOV"
"Poienile de Sub Munte","Maramures","MM",108473,,"47.8237144894","24.4367410544",10251,"POIENILE DE SUB MUNTE"
"Șimian","Mehedinti","MH",109826,,"44.6161048481","22.7036412512",10240,"SIMIAN"
"Cernica","Ilfov","IF",101742,,"44.4174423104","26.2846862884",10235,"CERNICA"
"Ivești","Galati","GL",76601,,"45.684358108","27.5192547269",10209,"IVESTI"
"Bumbești-Jiu","Gorj","GJ",79308,,"45.178934557","23.3834869043",10182,"BUMBESTI-JIU"
"Târgșoru Vechi","Prahova","PH",130892,,"44.9167637388","25.9510874892",10126,"TIRGSORU VECHI"
"Sascut","Bacau","BC",25068,,"46.20748344","27.1103259565",10118,"SASCUT"
"Nicolae Bălcescu","Bacau","BC",23715,,"46.4781479494","26.9184550487",10104,"NICOLAE BALCESCU"
"Măgurele","Ilfov","IF",179409,,"44.348400924","26.0300734838",10076,"MAGURELE"
"Sângeorgiu de Mureș","Mures","MS",114417,,"46.5769427877","24.608249798",10025,"SINGEORGIU DE MURES"
"Bușteni","Prahova","PH",131210,,"45.417949467","25.5387135535",9997,"BUSTENI"
"Giroc","Timis","TM",155314,,"45.6965989794","21.2384513393",9948,"GIROC"
"Zorleni","Vaslui","VS",167179,,"46.2685991187","27.7269235116",9917,"ORLENI"
"Uricani","Hunedoara","HD",87139,,"45.3301580754","23.1168846469",9915,"URICANI"
"Tămășeni","Neamt","NT",124634,,"46.9924629298","26.9527054699",9908,"TAMASENI"
"Iernut","Mures","MS",117827,,"46.4506172825","24.2370989541",9809,"IERNUT"
"Brăhășești","Galati","GL",75766,,"46.0399173005","27.3701455538",9793,"BRAHASESTI"
"Mărgineni","Bacau","BC",20466,,"46.5875966254","26.8509498672",9783,"MARGINENI"
"Siret","Suceava","SV",146655,,"47.9508993589","26.0677788842",9716,"SIRET"
"Vadu Pașii","Buau","BZ",49956,,"45.1588859261","26.8848823472",9702,"VADU PASII"
"Bărcănești","Prahova","PH",130552,,"44.8802873969","26.0525732933",9694,"BARCANESTI"
"Odobești","Vrancea","VN",175019,,"45.7600115577","27.0676667422",9628,"ODOBESTI"
"Huedin","Cluj","CJ",55446,,"46.863720899","23.0259569773",9618,"HUEDIN"
"Ineu","Arad","AR",9538,,"46.4258884153","21.8419948016",9611,"INEU"
"Tășnad","Satu Mare","SM",136642,,"47.4789253261","22.5856817174",9586,"TASNAD"
"Prejmer","Brasov","BV",41667,,"45.7218730053","25.775682046",9580,"PREJMER"
"Seini","Maramures","MM",108963,,"47.7490454775","23.2857876804",9569,"SEINI"
"Oituz","Bacau","BC",23797,,"46.206642629","26.6186886112",9566,"OITU"
"Topoloveni","Arges","AG",13757,,"44.8059896469","25.0877342003",9539,"TOPOLOVENI"
"Borlești","Neamt","NT",121732,,"46.778386694","26.5100767895",9530,"BORLESTI"
"Dumbrăveni","Suceava","SV",148426,,"47.6597803005","26.4224762899",9523,"DUMBRAVENI"
"Recaș","Timis","TM",158314,,"45.8028320465","21.5115868932",9452,"RECAS"
"Cobadin","Constanta","CT",61318,,"44.0633543716","28.2358788816",9440,"COBADIN"
"Anina","Caras-Severin","CS",50889,,"45.0900810548","21.8520951142",9427,"ANINA"
"Baraolt","Covasna","CV",63447,,"46.075742555","25.6036401582",9418,"BARAOLT"
"Băbeni","Valcea","VL",168372,,"44.970787656","24.2374821248",9416,"BABENI"
"Panciu","Vrancea","VN",175055,,"45.9099522973","27.0899983547",9378,"PANCIU"
"Întorsura Buzăului","Covasna","CV",63580,,"45.6742362556","26.0343021148",9335,"INTORSURA BUAULUI"
"Răducăneni","Iasi","IS",98685,,"46.9585170706","27.9424352023",9314,"RADUCANENI"
"Cajvana","Suceava","SV",147633,,"47.7016992677","25.9669237092",9307,"CAJVANA"
"Moisei","Maramures","MM",108348,,"47.656121637","24.5398826839",9303,"MOISEI"
"Plopeni","Prahova","PH",131443,,"45.0440623079","25.9530355623",9168,"PLOPENI"
"Tărlungeni","Brasov","BV",42003,,"45.6410411146","25.7567164991",9083,"TARLUNGENI"
"Pipirig","Neamt","NT",123521,,"47.2443554473","26.0652785484",9056,"PIPIRIG"
"Șiria","Arad","AR",12368,,"46.269503231","21.6391913312",9048,"SIRIA"
"Vernești","Buau","BZ",50102,,"45.2055713627","26.729723661",9046,"VERNESTI"
"Potlogi","Dambovita","DB",68468,,"44.5606243234","25.5898487627",8911,"POTLOGI"
"Călimănești","Valcea","VL",167909,,"45.251050312","24.3387637347",8909,"CALIMANESTI"
"Victoria","Brasov","BV",40465,,"45.7296774524","24.7027955007",8907,"VICTORIA"
"Berca","Buau","BZ",45101,,"45.2863976345","26.6824425292",8903,"BERCA"
"Brănești","Ilfov","IF",101298,,"44.4573408593","26.3372330501",8867,"BRANESTI"
"Dragalina","Calarasi","CL",93487,,"44.4347146228","27.3340238477",8831,"DRAGALINA"
"Blejoi","Prahova","PH",130678,,"44.9949531137","26.0096608704",8789,"BLEJOI"
"Dragomirești","Dambovita","DB",67407,,"44.9149092707","25.3444753011",8777,"DRAGOMIRESTI"
"Băleni","Dambovita","DB",66198,,"44.819280118","25.6536866015",8767,"BALENI"
"Răzvad","Dambovita","DB",65431,,"44.9363736909","25.5345016612",8759,"RAVAD"
