judet,uat,echipa_interventie,fond_cinegetic_alungare,data_interventie,longitudine_alungare,latitudine_alungare,numar_raport_alungare,identificare_relocare,fond_cinegetic_relocare,data_relocare,longitudine_relocare,latitudine_relocare,numar_raport_relocare,identificare_eutanasiere,fond_cinegetic_eutanasiere,longitudine_eutanasiere,latitudine_eutanasiere,nr._raport_interventie_eutanasiere,identificare_impuscare,fond_cinegetic_impuscare,longitudine_impuscare,latitudine_impuscare,nr._raport_interventie_impuscare,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de
,VOŞLĂBENI,"Reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",VOSLOBENI 14,,25.623809,46.643178,fn. /05.09.2023,,,,,,,,,,,,,,,,,,Echipa a procedta la alungarea unui exemplar de urs de pe strada principala a localitatii in timpul noptii.,Alungat,Szabo Szilard
Harghita,VOŞLĂBENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,,,,,RO3578379200/642098200101482,VOSLOBENI 14,06-09-2023,25.571887,46.570541,113/06.09.2023,,,,,,,,,,,Femela,Femela de urs de apr 3 ani care s-a intors dupa alungare a fost capturata cu capcana tip cusca si a fost relocata intr-o zona indepartata a aceluiasi fond cinegetic.,Relocat,Szabo Szilard
Dâmbovița,BUCIUMENI,Reprezentant Jandarmerie;Reprezentant UAT BUCIUMENI;Personal tehnic gestionar;Medic veterinar împuternicit,,,,,,,RUNCU 13,07-09-2023,25.353768,45.210209,8628,,,,,,,,,,,Mascul,"A  fost semnalată prezența unui urs în zona Buciumeni, sat Dealu Mare.În zona indicată  se afla un urs prins în laț.Acesta a fost tranchilizat și apoi relocat în zona Runcu-Leaota, pe același fond de vânătoare.",Relocat,Nicoleta Vladescu
,NEHOIU,"UAT, IJJ",VALEA NEHOIULUI 32,,,,11288/08.09.2023,,,,,,,,,,,,,,,,,,Apel 112 ce semnaleaza prezenta unui urs pe DN 10  în sat Păltineni,Altele,Ioana Diaconescu
,SĂCELE,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Activitate de monitorizare în vederea capturării unui exemplar de urs la Spitalul Municipal Săcele. Un urs a venit în jurul orelor 24 la containerele din fața spitalului unde a stat aproximativ o jumătate de oră, după care s-a retras în zona împădurită.",Altele,Mirela Moisa
,RÂŞNOV,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",RASNOV 26,,,,15/06.09.2023,,,,,,,,,,,,,,,,,,"Echipa a alungat un urs care vine in fiecare seara in gradina unui locuitor din Rasnov, str Brasovului, nr 50C.Ursul alungat a revenit pe alta parte.Desi proprietarul a imprejmuit proprietatea cu gard, ursul rupe gardul si intra in gradina casei.",Alungat,Mirela Moisa
,NEHOIU,"IJJ , UAT,",VALEA NEHOIULUI 32,,,,,11356/11.09.2023,,,,,,,,,,,,,,,,,Apel 112  u exemplar de urs a rupt gardul unei gospodării A fost alungat de propretar cu  caini  si de jandarmi .,Alungat,Ioana Diaconescu
,DĂMUC,"Jandarmerie, UAT",DAMUC 13,,46.755536,25.887567,5411/08.09.2023,,,,,,,,,,,,,,,,,,A fost atacata o persoana. S-a apelat 112. Ursul a distrus un gard de lemn.,Alungat,Roxana Savina
,PIETROASA,"gestionarul fondului cinegetic Universitatea Oradea, Primăria Pieroasa, RNP-Romsilva Adrministratia Parcului Natural Apuseni",PIETROASA 63,,22.60396,46.63737,940/07.09.2023,,,,,,,,,,,,,,,,,,"a fost alungat un urs observat langa o tabara de copii pe urmatorul traseu: Valea Aleu, Poiana Aleu, tabara de copii, Valea Mare, Cascada Bohodei",Alungat,Dorina Radovet
,PIETROASA,"gestionarul fondului cinegetic Universitatea Oradea, Primaria Pietroasa, RNP Romsilva - Administratia Parcului Natural Apuseni",PIETROASA 63,,22.60937,46.61862,941/07.09.2023,,,,,,,,,,,,,,,,,,"a fost alungat un urs observat in apropierea taberei de copii, pe traseul: Valea Aleu, Valea Sighistel, Poiana Dancoasa, Jivita",Alungat,Dorina Radovet
,PIETROASA,"gestionarul fondului cinegetic Universitatea Oradea, Primaria Pieroasa, RNP Romsilva - Administratia Parcului Natural Apuseni",PIETROASA 63,,22.66675,46.61462,942/07.09.2023,,,,,,,,,,,,,,,,,,"a fost alungat un urs observat langa o tabara de copii, pe traseul: satul de Vacanta Boga, Valea Boga",Alungat,Dorina Radovet
,RÂŞNOV,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Raport nr 16 din 07.09.2023.Activitate de monitorizare in vederea capturarii unui exemplar de urs pe str Iasomiei, loc.Rasnov",Altele,Mirela Moisa
,RÂŞNOV,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Raport de eveniment nr.17/08.09.2023. Activitate de monitorizare în vederea capturării unui exemplar de urs - str.Iasomiei, Râșnov. Ursul a apărut în kurul orei 23,30 si a stat 10 min fara sa intre in cusca, dupa care s-a retras in zona impadurita.",Altele,Mirela Moisa
,BRAŞOV,"Reprezentant UAT, medic veterinar, reprezentant gestionar fond cinegetic",TIMIS 18,,25.604466,45.634483,132321,,,,,,,,,,,,,,,,,Femela cu pui,Echipa constituita conf prevederilor OUG 81/2021 a alungat o femela de urs brun cu pui din zona Racadau spre zona impadurita.,Alungat,Mirela Moisa
,BRAŞOV,"Reprezentant UAT, medic veterinar, reprezentant gestionar fond cinegetic",TIMIS 18,,25.548629,45.59354,132322,,,,,,,,,,,,,,,,,Femela,Echipa de intervenție aflată în zonă a alungat o femelă de urs brun de la pubelele de gunoi din zona Hotelului Caraiman. Femela are colar.,Alungat,Mirela Moisa
,SĂCELE,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Raport nr.36/11.09.2023. Echipa constituita in vederea capturarii unui exemplar de urs care apare la spitalul municipal Sacele la container. Ursul a aparut in jurul orei 21,40, a stat cateva minute, apoi s-a retras in padure.",Altele,Mirela Moisa
,NEREJU,"reprezentant UAT, personal din cadrul IJJ Vrancea, reprezentant gestionar fond cinegetic",NEREJU 16,,26.66824882,45.7035677,4479,,,,,,,,,,,,,,,,,,doua exemplare din specia urs  au patruns in gospodarie si au omorat pasari de curte.,Alungat,Radu Sandu
,SĂCELE,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Raport nr. 37/12.09.2023. Echipa de intervenție s-a întrunit pentru monitorizarea cuștii amplasate în curtea Spitalului Municipalul Săcele. Ursul a venit în jurul orei orei 24 la containerele de gunoi din fața spitalului, unde a stat 10 minute fara a intra in cusca apoi s-a retras in padure.",Altele,Mirela Moisa
,SĂCELE,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,Raport nr 38/13.09.2023. Actiune de monitorizare in vederea capturarii uni exemplar de urs la Spitalul Municipal Sacele.Ursul a aparut dar nu a fost capturat. Dupa cca 15 min s-a retras in padure,Altele,Mirela Moisa
,GHIMEŞ-FĂGET,"Jandarmerie, UAT Ghimes Faget , gestionar - AVPS Bukk, medic veterinar,",GHIMES 1,,26.078553,46.583488,13301/14.09.2023,,,,,,,,,,,,,,,,,Mascul,A fost semnalata prezenta unui exemplar de urs in zona Tarhausi.,Alungat,Anca Macor
,PETRILA,Petrila,AUSELUL 67,,23.41484,45.45777,7648/08.09.2023,,,,,,,,,,,,,,,,,Mascul,"Un exemplar de urs, femelă, prins în laț in intravilan - str. Taia nr. 29 a fost tanchilizat de medicul veterinar, apoi scos din laț, iar la trezire a plecat singur în pădure, fara sa mai fie necesare actiuni de alungare. S-a considerat că nivelul de risc a fost unul scăzut.",Alungat,Anca Ungureanu
,MĂNECIU,"Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",TELEAJEN 27,,45.309882,26.005606,13979/11.09.2023,,,,,,,,,,,,,,,,,,"Exemplar care a intrat in gospodarie unde a distrus gardul si peretele saivanului, a omorat 4 oi",Alungat,Crina Popa
,VĂLENII DE MUNTE,"Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",CAZACU 34,,45.187317,26.030493,20378/11.09.2023,,,,,,,,,,,,,,,,,,"Echipa intrunita in urma unui apel 112,  s-a verificat zona, s-au folosit semnale acustice si luminoase pentru alungare",Alungat,Crina Popa
,VĂLENII DE MUNTE,"Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",CAZACU 34,,45.19321,26.050273,20423/12.09.2023,,,,,,,,,,,,,,,,,Mascul,"Echipa intrunita in urma unui apel 112, exemplar mascul de 5 ani, care a patruns in mai multe curti pe un traseu lung prin intravilan, indepartat cu mijloace acustice",Alungat,Crina Popa
,MĂNECIU,"Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",BASCA FARA CALE 29,,45.1933477,25.5953158,14047/12.09.2023,,,,,,,,,,,,,,,,,,"Echipa intrunita in urma unui apel 112, ursul nu mai era in gospodarie, a rupt gardul,  s-a verificat zona si s-a monitorizat",Alungat,Crina Popa
Prahova,MĂNECIU,"Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",,,,,,PH 018 URS,TELEAJEN 27,13-09-2023,45.310456,26.006137,14222/14.09.2023,,,,,,,,,,,Mascul,"Actiunea a fost realizata de AJVPS PH care are contract cu primaria, exemplar mascul de doi ani care a fost prins cu cusca, nu fusese crotaliat anterior, i s-a aplicat crotaliu PH 018 URS",Relocat,Crina Popa
,OITUZ,"Jandarmerie, UAT Oituz , medic veterinar,",OITUZ 20,,26.636826,46.216247,18781/15.09.2023,,,,,,,,,,,,,,,,,,"In urma apelului la 112 echipa de interventie s-a deplasat pe strada Ctin Musat, satul Marghinea, comuna Oituz. Ursul nu a mai fost identificat in zona. Au fost utilizate semnale acustice.",Alungat,Anca Macor
,CĂLIMĂNEŞTI,"Viceprimar, Plt. adj. ,  Paznic vânătoare , medic veterinar",COZIA 13,,,,16829/18.09.2023,,,,,,,,,,,,,,,,,,"În urma unui apel la 112  prin care s-a sesizat prezența unui urs în zona stadionului orașului Călimănești. După sosirea echipajelor de intervenție la fața locului, ursul s-a deplasat pe itinerariul stadionul Calimănești spre insula pe care este situat schitul Ostrov, urcând pe faleza râului Olt în dreptul clinicii Călimănesti. Pe timpul intervenției, echipajele prezente la fața locului au folosit semnale luminoase si acustice, pentru îndepărtarea exemplarului de urs din zonă.",Alungat,Anca Dicu
Bacău,BALCANI,"Jandarmerie, UAT Balcani , gestionar, medic veterinar împuternicit",,,,,,642090003724993,SCHIT 9,15-09-2023,,,6405/15.09.2023,,,,,,,,,,,Mascul,Un urs a fost tranchilizat si eliberat din sarma unui gard .,Relocat,Anca Macor
,SĂCELE,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Raport nr 39 din 15.09.2023, intocmit de echipa de interventie cu ocazia monitorizarii custii amplasata in curtea Spitalului Municipal Sacele.Ursul a venit la ora 3 pm dar nu a intrat in cusca.Dupa aprox 20 min s-a retras in zona impadurita.",Altele,Mirela Moisa
,SĂCELE,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant Gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Raport nr 39 din 15.09.2023, intocmit de echipa de interventie cu ocazia monitorizarii custii amplasata in curtea Spitalului Municipal Sacele.Ursul nu a aparut.",Altele,Mirela Moisa
,PETROŞANI,Petroșani,PETROSANI 66,,23.227189,45.236503,7926/18.09.2023,,,,,,,,,,,,,,,,,Mascul,"Un exemplar de urs, mascul, a fost alungat de echipa de intervenție din livada de meri de pe str. Coasta, după care nu a mai revenit . S-a considerat că nivelul de risc a fost unul redus.",Alungat,Anca Ungureanu
,PETROŞANI,Petroșani,PETROSANI 66,,23.385646,45.385675,7926/18.09.2023,,,,,,,,,,,,,,,,,Mascul,"Un exemplar de urs, mascul, de dimensiuni foarte mari, a fost alungat de echipa de intervenție din gospodăria de pe str. Sălătruc nr. 24A, unde se afla la locul de joacă al copiilor, după care s-a retras la marginea proprietății. S-a considerat că nivelul de risc a fost unul ridicat.",Alungat,Anca Ungureanu
,PETROŞANI,Petroșani,PETROSANI 66,,23.377496,45.385475,7926/18.09.2023,,,,,,,,,,,,,,,,,Mascul,"Un exemplar de urs, mascul, de dimensiuni foarte mari, a fost alungat cu greu de echipa de intervenție care a avut nevoie de personal suplimentar din gospodăria de pe str. Sălătruc. Înainte de a fi alungat, a atacat și devorat din curtea familiei un exemplar de suine. S-a considerat că nivelul de risc a fost unul ridicat.",Alungat,Anca Ungureanu
,MEREI,"IJJ, UAT Gestionar FC",GURA SARATII 21,,,,10545/19.09.2023,,,,,,,,,,,,,,,,,,Apel 112 sesizeaza prezenta unui urs pe strada principala din Sarata Monteoru,Alungat,Ioana Diaconescu
,RÂŞNOV,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Raport nr 18/18.09.2023 incheiat cu ocazia activitatii de monitorizare in vederea capturarii unui exemplar de urs de pe str.Iasomiei, Rasnov.",Altele,Mirela Moisa
,MOROENI,Reprezentant Jandarmerie;Reprezentant UAT Moroeni;Personal tehnic gestionar; Medic veterinar împuternicit,VALEA IALOMITEI 16,,25.431409,45.225781,255,,,,,,,,,,,,,,,,,Mascul,S-a îndepărtat exemplarul de urs prin semnale acustice,Alungat,Nicoleta Vladescu
,BAIA DE FIER,"JANDARMERIE, REPREZENTANT UAT , PERSONAL TEHNIC ACV SPARTACUS",OLTET 14,,2375822886.0,451768548.0,9643,,,,,,,,,,,,,,,,,Femela cu pui,EXEMPLARELE AU FOST OBSERVATE PE STRADA ALEEA PRUNULUI SI AU INTRAT PRIN GRADINILE OAMENILOR AJUNGAND IN LA LOCUINTA BASARABA ILIE UNDE A SPART USA DE TERMOPAN  CU STICLA SI A INTRAT IN BUCATARIE UNDE A LUAT PAINEA,Alungat,Consuela Avram
,LEREŞTI,"Jandarmerie, Viceprimar , Personal GFC, reprezentant IGSU",RAUL TARGULUI 18,,45.329847,25.076201,,,,,,,,,,,,,,,,,,,"Apel telefonic  prin care se semnala prezența unui urs  în  grădina apelantului,  din com. Lerești, str. Răcani.   Echipa de interventie  a vazut exemplarul de urs  care se apropiase la aprox. 10 m de locuință. Echipa de intervenție a folosit semnale acustice și luminoase pentru alungarea exemplarului de urs .",Alungat,Petruta Ghica
,LEREŞTI,"Jandarmerie, Viceprimar , Personal GFC, reprezentant IGSU",RAUL TARGULUI 18,,45.310901,25.080472,,,,,,,,,,,,,,,,,,,"Apel telefonic  prin care se semnala prezența unui urs  în  grădina apelantului,  din com. Lerești, sat Voinești.   Echipa de interventie nu  a mai găsit  exemplarele de urs , apelantul folosind semnale acustice și luminoase pentru alungarea exemplarelor de urs .",Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Viceprimar, Personal GFC",RUCAR 22,,45.388618,25.167429,,,,,,,,,,,,,,,,,,,"Apel telefonic  prin care se semnala prezența unui urs  în  grădina apelantului,  din com. Rucăr, sat Rucăr., str. Păpușa.  Echipa de interventie nu  a mai găsit  exemplarul de urs .",Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Viceprimar, Personal GFC",RUCAR 22,,45.3892,25.17222,,,,,,,,,,,,,,,,,,,"Apel telefonic  prin care se semnala prezența unui urs  în  grădina apelantului,  din com. Rucăr, sat Rucăr.   Echipa de interventie nu  a mai găsit  exemplarul de urs, insă a găsit șapte ovine moarte și gardul grădinii rupt.",Alungat,Petruta Ghica
,CICĂNEŞTI,"Jandarmerie, Viceprimar, Personal GFC",VALEA DANULUI 6,,45.265664,24.606964,,,,,,,,,,,,,,,,,,,"Apel telefonic  prin care se semnala prezența unui urs  în zonă, care nu părăsește zona la semnale acustice și luminoase. La fața locului, echipa de interventie  a  găsit  exemplarul de urs era blocat într-o sârmă din gardul care împrejmuia terenul. Datorită pericolului foarte mare s-aluat hotărârea împușcării, insă între timp ursul nu a mai fost găsit.",Alungat,Petruta Ghica
,PETROŞANI,Petroșani,PETROSANI 66,,23.372764,45.375737,7993/20.09.2023,,,,,,,,,,,,,,,,,Mascul,"Un exemplar de urs mascul a intrat în curtea unei persoane din Petrosani, str. Pârâieni nr. 22 unde s-a apropiat la aprox. 10 m de reprezentantul jandarmeriei, care a tras un foc de avertisment pentru alungare.  S-a considerat că nivelul de risc a fost unul ridicat.",Alungat,Anca Ungureanu
,DĂMUC,"viceprimar UAT Damuc,  sef SVSU Damuc, Jandarmerie, personal tehnic gestionar",DAMUC 13,,46.76531,25.9238442,5537/18.09.2023,,,,,,,,,,,,,,,,,,"Exemplarul nu s-a mai regasit la fata locului, dar s-au observat urme si excremente. In apropiere s-a gasit cadavrul unei bovine.",Alungat,Roxana Savina
,CORUND,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",CORUND 39,,25.194695,46.469796,fn./12.09.2023,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs tanar din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,VOŞLĂBENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",VOSLOBENI 14,,25.6348,46.6537,fn./12.09.2023,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din gospodarie cu pomi fructiferi prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,BĂLAN,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",BALAN 15,,25.8148387,46.647789,4306/13.06.2023,,,,,,,,,,,,,,,,,Femela cu pui,Echipa de interventie a efectuat alungarea unei femele de urs cu 2 pui din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,LĂZAREA,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",GHEORGHENI 10,,25.5303668,46.7485571,5561/14.09.2023,,,,,,,,,,,,,,,,,Mascul,"Echipa de interventie a efectuat alungarea unui exemplar de urs agresiv, care a mai intrat in intravilanul localitatii, prin mijloace acustice si luminoase.",Alungat,Szabo Szilard
,VĂLENII DE MUNTE,"Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",CALDARUSANCA 31,,45.207788,26.26053467,21190/19.09.2023,,,,,,,,,,,,,,,,,,"Exemplarul nu se mai afla la fata locului, s-a monitorizat zona, s-au folosit semnale sonore pentru alungare",Alungat,Crina Popa
,CORUND,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,2023-09-13,,,,,,,,,,,,,,,,CORUND 39,25.178433,46.470873,7535/13.09.2023,Mascul,"In urma apelului la 112 echipa de interventie a deplasat in zona paraului Corund din intravilanul comunei. Exemplarul tanar de urs care a mai fos alungat din localitate s-a manifestat agresiv si nu s-a putut fi indepartat din localitate, motiv pentru care s-a decis extragerea acestuia prin impuscare.",Împușcare,Szabo Szilard
,GHIMEŞ-FĂGET,"Jandarmerie, UAT Ghimes Făget , gestionar - AVPS Bukk,medic veterinar",GHIMES 1,,26.085574,46.588195,13555/20.09.2023,,,,,,,,,,,,,,,,,Femela cu pui,A fost alungata  o ursoaica cu doi pui din fata unei case.,Alungat,Anca Macor
,CORUND,"Reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",CORUND 39,,25.180545,46.451373,7485/13.09.2023,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din apropierea gospodariei din zona Calond prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,CORUND,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",CORUND 39,,25.180929,46.450202,7615/14.09.2023,,,,,,,,,,,,,,,,,,"Echipa de interventie s-a procedat la alungarea exemplarului de urs care a revenit in zona Calonda, unde acesta a distrus garduri si a produs pagube in lanul de porumb.",Alungat,Szabo Szilard
,CORUND,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",CORUND 39,,25.182409,46.449559,7537/14.09.2023,,,,,,,,,,,,,,,,,,"Echipa de interventie s-a procedat la alungarea exemplarului de urs care a revenit in zona Calonda, unde acesta a distrus garduri si a produs pagube in lanul de porumb.",Alungat,Szabo Szilard
,NEHOIU,"Reprezentant IJJ Buzau, reprezentant UAT Nehoiu, reprezentant AJVPS Buzau",VALEA NEHOIULUI 32,,26.2923,45.45196,14,,,,,,,,,,,,,,,,,,"În jurul orei 9, data 21.09.2023 a fost anuntata prezenta unui urs in gospodaria din Lunca Priporului",Alungat,Mihaela Ifrim
,GHIMEŞ-FĂGET,"Personal Jandarmerie, UAT Ghimes Făget - viceprimar , gestionar - AVPS Bukk, medic veterinar imputernicit",GHIMES 1,,26.086983,46.587691,13556/20.09.2023,,,,,,,,,,,,,,,,,Femela cu pui,O ursoaica cu doi pui a revenit in curtea unei case.  A fost alungata de echipa de interventie.,Alungat,Anca Macor
,PRAID,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,,,,,,,,,,,,CORUND 39,25.105596,46.555139,fn./14.09.2023,,,,,,Mascul,"Exemplarul de urs a fost ranit grav in urma accidentului rutier pe DN 13A. Avand in vedere traumatismele incompatibile cu viata echipa a decis eutanasierea acestui, care a fost executat de medic veterinar inputernicit.",Eutanasiat,Szabo Szilard
,CORUND,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",IUHOD 38,,25.169904,46.485249,7644/15.09.2023,,,,,,,,,,,,,,,,,,"Exemplarul de urs a fost alingat de echipa de interventie in urma apelului direct de la personal din unitate turistica, unde acesta a spart un geam si a produs alte pagube materiale.",Alungat,Szabo Szilard
,CIUMANI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",BORZONT 13,,25.52572,46.67261,3411/18.09.2023,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,CIUMANI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",BORZONT 13,,25.527057,46.672807,3418/18.09.2023,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,VOŞLĂBENI,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",VOSLOBENI 14,,25.626255,46.649205,122/18.09.2023,,,,,,,,,,,,,,,,,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,Alungat,Szabo Szilard
,RUCĂR,"Jandarmerie, Viceprimar, Personal GFC",RUCAR 22,,45.3892,25.17222,,,,,,,,,,,,,,,,,,,"Apel telefonic  prin care se semnala prezența unui urs  în  apropierea proprietății  apelantului,  din com. Rucăr, sat Rucăr, în pădurea din vecinătate.   Echipa de interventie   a patrulat în zonă folosind semnale acustice și luminoase,  exemplarul de urs nefiind găsit.",Alungat,Petruta Ghica
,BORDEŞTI,"reprezentant IJJ Vrancea, reprezentant UAT - primar, paznic fond cinegetic",,,27.031599,45.538832,,,,,,,,,,,,,,,,,,,exemplarul de urs nu a fos observat,Alungat,Radu Sandu
,BORDEŞTI,"reprezentant IJJ Vrancea, reprezentant UAT - primar, paznic fond cinegetic, medic veterinar imputernicit",,,27031599.0,45538832.0,,,,,,,,,,,,,,,,,,,Exemplar alungat din zona stanei,Alungat,Radu Sandu
,SĂCELE,"Personal Jandarmerie, Reprezentant UAT, Personal GFC, Medic veterinar",,,,,,,,,,,,,,,,,,,,,,,Monitorizare în vederea capturării la Spitalul Municipal Săcele,Altele,Andreea Bogdan
,SĂCELE,"Personal Jandarmerie, Reprezentant UAT, Personal GFC, Medic vetrinar",,,,,,,,,,,,,,,,,,,,,,,Activitate de monitorizare în vederea capturării unui exemplar la Spitalul Municipal Săcele,Altele,Andreea Bogdan
,TAZLĂU,"Primar UAT , jandarmerie, gestionar, SMURD ISU, pagubit, apelant 112",TAZLAU 1,,26.27425,46.44074,1/24.09.2023,,,,,,,,,,,,,,,,,Femela cu pui,O femela cu 3 pui a fost semnalata in vecinatatea unei stane de oi din comuna Tazlau.  Proprietarul a sunat la 112 si s-a intrunit comisia de interventie.,Alungat,Roxana Savina
,ANINOASA,Aninoasa,VULCAN 65,,23.340416,45.374648,8027/21.09.2023,,,,,,,,,,,,,,,,,Mascul,"Un exemplar de urs, mascul, a intrat într-o gospodărie de pe str. Costeni unde a provocat pagube în cultura de porumb. A fost alungat de echipa de intervenție. S-a considerat că nivelul de risc a fost unul mediu.",Alungat,Anca Ungureanu
,PETROŞANI,Petroșani,PETROSANI 66,,23.227465,45.231465,8058/22.09.2023,,,,,,,,,,,,,,,,,Mascul,"Apel telefonic la 112 prin care se semnala prezența unui exemplar de urs mascul pe str. Sălătruc nr. 11A din Petroșani. La fața locului s-a deplasat echipa de interventie, procedând la alungarea animalului. S-a considerat că nivelul de risc a fost unul ridicat.",Alungat,Anca Ungureanu
,SĂCELE,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,,,,,,,,,,,,,,,,,,,,,"Raport nr. 43 din 21.09.2023, privind activitatea de monitorizare a cuștii amplasată în curtea Spitalului Municipal Săcele. Ursul nu a fost capturat",Altele,Mirela Moisa
,BECENI,"Reprezentant IJJ, reprezentant UAT Beceni, reprezentant AJVPS Buzau",BECENI 41,,,,,,,,,,,,,,,,,,,,,,"In data de 23.09.2023, a fost semnalată prin 112, prezenta unui urs in gospodaria proprietarului. Echipa de interventie a alungat ursul spre mediul natural.",Alungat,Mihaela Ifrim
,BECENI,"Reprezentant IJJ, reprezentant primarie Beceni,",BECENI 41,,,,,,,,,,,,,,,,,,,,,,"In data de 24.09.2023, ora 3.30 a fost semnalata prezenta unui urs in livada apelantului. S-a parcurs la alungarea acestuia din zona satului, spre padure.",Alungat,Mihaela Ifrim
,SĂCELE,"Personal Jandarmerie, Reprezentant UAT, Persinal GFC, Medic vetrinar",,,,,,,,,,,,,,,,,,,,,,,Monitorizare cușcă la Spitalul Municipal Săcele,Altele,Andreea Bogdan
,SĂCELE,"Personal Jandarmerie, Reprezentant UAT, Persinal GFC, Medic vetrinar",,,,,,,,,,,,,,,,,,,,,,,Monitorizare cușcă  la Spitalul Municipal Săcele,Altele,Andreea Bogdan
,RUCĂR,"Jandarmerie, Viceprimar, Personal GFC",RUCAR 22,,45.402,25.157,,,,,,,,,,,,,,,,,,,"Apel telefonic  prin care se semnala prezența unui urs  în  grădina apelantei Simon Ioneta,  din com. Rucăr, sat Rucăr.   Echipa de interventie  găsit  exemplarul de urs, a folosit semnale acustice si luminoase, însă exemplarul de urs nu a părăsit grădina, îndreptându-se către echipa de intervenție. Pentru alungarea ursului a fost nevoie de executarea unui foc de armă în plan vertical.",Alungat,Petruta Ghica
