judet,uat,echipa_interventie,fond_cinegetic_alungare,data_interventie,longitudine_alungare,latitudine_alungare,numar_raport_alungare,identificare_relocare,fond_cinegetic_relocare,data_relocare,longitudine_relocare,latitudine_relocare,numar_raport_relocare,identificare_eutanasiere,fond_cinegetic_eutanasiere,longitudine_eutanasiere,latitudine_eutanasiere,nr._raport_interventie_eutanasiere,identificare_impuscare,fond_cinegetic_impuscare,longitudine_impuscare,latitudine_impuscare,nr._raport_interventie_impuscare,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de
,RUCĂR,"Jandarmerie, Primarie, Fond Cinegetic",RUCAR 22,,45.406397,25.147853,1500922,,,,,,,,,,,,,,,,,Mascul,"In grajdul din proprietatea aflata in intravilan,  a fost gasit un porc mort si unul ranit,. A fost identificat locul prin care a patruns ursul, respectiv podul grajdului. Ursul nu a fost vazut .",Alungat,Petruta Ghica
,RUCĂR,"Jnadarmerie, Fond cinegetic",RUCAR 22,,45.398873,25.146723,1500922,,,,,,,,,,,,,,,,,Mascul,A fost semnalata prezenta unui urs in aproprierea locuintei. Echipa de interventie a patrulat folosind semnale acustice si luminoase. Ursul nu a mai fost vazut.,Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Primarie, Fond cinegetic",,2021-09-08,,,,,,,,,,,,,,,,RUCAR 22,45.407411,25.144779,1500922,Mascul,"Un exemplar de urs a revenit dupa alungare, la o proprietate unde omorase doua suine, si incerca sa patrunda din nou in grajd. Exemplarul a fost impuscat in intravilanul localitatii Rucar, a marcat focul, dar nu a murit pe loc si a fugit in extravilan. Ulterior gestionarul fondului cinegetic a intreprins actiuni de cautare, dar ursul nu a mai fost gasit.",Împușcare,Petruta Ghica
,RUCĂR,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.385597,25.169225,1500927,,,,,,,,,,,,,,,,,Mascul,Un urs de talie mare a fost vazut in gspodaria aflata in intravilan. Jandarmeria a folosit  mijloace acustice si luminoase pentru alungare. Dupa patrulare ursul nu a mai fost vazut.,Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.377971,25.16627,1500935,,,,,,,,,,,,,,,,,Mascul,"Ursul a patruns in gospodaria aflata in intravilanul comunei Rucar. La sosirea echipei de interventie a fost gasit gardul, rupt, insa ursul nu a mai fost gasit. S-a efectuat patrulare, s-au folosit semnale acustice si luminoase.",Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.383968,25.167179,1500952,,,,,,,,,,,,,,,,,Mascul,Ursul a patruns in gospodaria aflata in intravilanul localitatii Rucar. La sosirea echipei de interventie ursul nu a mai fost gasit. S-au folosit mijloace acustice si luminoase si s-au efectuat patrulari in zona.,Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.380646,25.168896,1500952,,,,,,,,,,,,,,,,,Mascul,"Ursul a revenit la o gospodarie aflata in intravilanul localitatii Rucar, a patruns in grajd rupand acoperisul si usile si a devorat resturile ovinei ucise cu o seara inainte. S-au folosit semnale acustice si luminoase acustice si luminoase",Alungat,Petruta Ghica
,BUGHEA DE SUS,Jandarmerie,RAUL TARGULUI 18,,,25.038969,1500952,,,,,,,,,,,,,,,,,Mascul,"Ursul a fost vazut in jurul unei gospodarii din intravilanul comunei Bughea de Sus. La sosirea jandarmilor, ursul nu a mai fost gasit. S-a efectuat patrulare si au fost folosite mijloace acustiec si luminoase.",Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, primarie, Fond cinegetic",RUCAR 22,,45.39887,25.146723,1500979,,,,,,,,,,,,,,,,,Mascul,"Ursul a patruns in mai multe proprietati aflate in intravilanul comunei Rucar, distrugand garduri si pomi fructiferi. Echipa de  interventie a vazut ursul la limita proprietatii, pentru alungare fiind folosite semnale acustice si luminoase.",Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Primarie, Fond cinegetic",,2021-09-20,,,,,,,,,,,,,,,,RUCAR 22,45.40327,25.150685,1501027,Mascul,"Ursul vazut la un adapost de animale. Reprezentantul primariei Rucar a hotarat impuscarea exemplarului de urs , datorita numeroaselor pagube produse in intravilanul localitatii Rucar si a numeroaselor alungari.n intravilanul",Împușcare,Petruta Ghica
,RUCĂR,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.442788,25.1747,1501046,,,,,,,,,,,,,,,,,Femela cu pui,"Ursoaica cu 2 pui a patruns in curtea unei case din intravilanul comunei Rucar. Echipa de interventie a vazut exemplarele de urs, s-au folosit mijloace acustice si luminoase pentru alungare.vazut",Alungat,Petruta Ghica
,RUCĂR,"Jandarmerie, Primarie, Fond cinegetic",RUCAR 22,,45.398638,25.163759,1501115,,,,,,,,,,,,,,,,,Mascul,In jurul locuintei din intarvilanul localitatii Rucar a fost semnalata prezenta unui exemplar de urs. Echipa de interventie a folosit mijloace acustice si luminoase pentru alungare.,Alungat,Petruta Ghica
,DUMITRIŢA,"Plt. Adj. ISJ BN,  Primar -  UAT Dumitrița,  Medic veterinar împuternicit- CMV Satu Nou",BUDAC 27,,,,,,,,,,,,,,,,,,,,,Mascul,"Un urs a atacat și omorât un porc. Evenimentul s-a petrecut în jurul dimineții, in intravilanul localității Budacu de Sus , porcul a fost luat din cotețul de lângă casă. Ursul a fost alungat. ISU Bistrița a transmis mesajul RO Alert .",Alungat,Nastase Crina
,DUMITRIŢA,"Plt. Adj.  - ISJ BN,  Primar -  UAT Dumitrița, Medic veterinar împuternicit - CMV Satu Nou, Reprezentantul gestionarului AC Ursul Brun",BUDAC 27,,,,,,,,,,,,,,,,,,,,,Mascul,A fost luată măsura alungării ursului din zonă și înștiințarea populației. Evenimentul a avut loc în localitatea  Budacu de Sus . Nu au fost produse pagube.,Alungat,Nastase Crina
,COMARNIC,"Primar, reprez. UM 0756, paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,11962/07.10.2021,,,,,,,,,,,,,,,,,,Exemplar de urs pui alungat cu semnale acustice si vizuale,Alungat,Crina Popa
Covasna,BIXAD,"primar, paznic de vânătoare,  medic veterinar,  IJJ Covasna",,,,,,3576389738,DOBRITA ZALAN 8,31-08-2021,25.811172,46.119077,1782,,,,,,,,,,,Femela,"Paznicul comunal  a observat ursul rămas în captiv într-un tomberon în centrul comunei lângă sala de sport, după care a anunțat primarul. Primarul a apelat 112 în urma căruia s-a întrunit comisia de intervenție format din primar, medic veterinar, paznic de vânătoare și echipajul de jandarmi. Ursul a fost tranchilizat de către medicul veterinar, a fost scos din tomberon, cipat și întrodus în cușca metalică apoi transportat și relocat pe fondul de vânătoare nr. 8 Dobrița Zălan, la locul denumit Hani.",Relocat,Berde Lajos
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,12028/08.10.2021,,,,,,,,,,,,,,,,,Femela cu pui,Alungat cu mijloace sonore si luminoase,Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,12086/08.10.2021,,,,,,,,,,,,,,,,,Mascul,"Exemplarul se afla intr-o zona unde a existat un atac, dar din cauza vegetatiei abundente actiunea a fost ingreunata, s-a facut alungare prin metode acustice si luminoase",Alungat,Crina Popa
,IZVOARELE,"reprezentant UAT, reprez. UM 0756, paznic vanat. AJVPS Prahova",CAZACU 34,,577189.9,420412.9,1969/10.10.2021,,,,,,,,,,,,,,,,,Mascul,Alungare prin diverse mijloace acustice si luminoase,Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,549611.0,416609.0,12088/11.10.2021,,,,,,,,,,,,,,,,,Mascul,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,549254.0,418289.0,12090/11.10.2021,,,,,,,,,,,,,,,,,Mascul,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa
,RUCĂR,"Jandarmerie, Primărie, gestionar FC",RUCAR 22,,25.168286,45.379211,1501260 din 11.10.2021,,,,,,,,,,,,,,,,,,Ursul nu se afla în zona sesizată. S-a efectuat patrulare cu mijloace acustice și luminoase.,Alungat,Marius Dumitru
,BRUSTUROASA,Jandarmerie - UM 0836 BACAU; UAT Brusturoasa- VICEPRIMAR ; Personal tehnic gestionar  ; Medic veterinar.,COTUMBA 3,,,,11473,,,,,,,,,,,,,,,,,,"Din relatarile persoanelor care erau la fata locului la momentul intrunirii echipei de  interventie, a rezultat ca un urs adult a atacat o bovina, in spatele imobilului cu nr. 154 din satul Hanganesti, comuna Brusturoasa.  Dupa atac, ursul a plecat , nu a fost necesara alungarea acestuia de catre echipa de interventie.",Alungat,Anca Macor
,STOENEŞTI,Jandarmerie,STOENESTI 20,,25.186166,45.239877,1501288 din 12.10.2021,,,,,,,,,,,,,,,,,,Ursul nu a fost găsit. În gospodăria persoanei păgubote un perete al adăpostului pentru animale era spart și lipsea o ovină.,Alungat,Marius Dumitru
Brașov,BRAŞOV,"Reprezentant Primăria Municipului Brașov, Medic veterinar și reprezentant IJJ Brașov",,,,,,BV005-BV008,,13-10-2021,25.576793,45.643218,109981,,,,,,,,,,,Femela cu pui,"Conducătorul echipei de intervenție a decis în conformitate cu prevederile art.4, alin.1, lit .b) din OUG 81/2021, capturarea, tranchilizarea și relocarea femelei de urs cu 3 pui în cadrul Sanctuarului de urși Libearty Zărnești",Relocat,Viorel Marean
,BRAŞOV,"Primar mun. Brasov, medic veterinar, reprezentant Garda Forestiera Brasov",TIMIS 18,,25.57693,45.643182,111091/15.10.2021,,,,,,,,,,,,,,,,,Femela cu pui,"In urma apelurilor repetate la 112, echipa de interventie a monitorizat zona, iar la ora 23,05pm, in zona Warthe,conducatorul echipei de interventie a decis in conf.cu art 4, alin.1, lit.a, alungarea prin diverse mijloace acustice si olfactive a unui exemplar de urs femela cu pui,",Alungat,Mirela Moisa
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,549254.0,418289.0,12321/14.10.2021,,,,,,,,,,,,,,,,,Mascul,"Ursul a ucis doua ovine, a fost alungat folosindu-se metode acustice si luminoase",Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,548730.0,420496.0,12422/15.10.2021,,,,,,,,,,,,,,,,,Mascul,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",,2021-10-14,,,,,,,,,,,,,,,,COMARNIC 24,548730.0,420496.0,12423/15.10.2021,Mascul,"Alungare prin metode sonore si cu fascicule luminoase, dupa care a devenit agresiv, punand in pericol membrii echipei si a fost impuscat",Împușcare,Crina Popa
,ZĂRNEŞTI,"IJJ Buzau, reprezentant UAT Zarnesti, reprezentant AV Stejarul Bucure;ti",ZARNESTI 57,,26.864385,45.302091,,,,,,,,,,,,,,,,,,,"In urma apelului de urgență echipa s-a deplasat la fața loclului, dar ursul nu a mai fost găsit.",Alungat,Mihaela Ifrim
,CRIZBAV,"Reprezentant Primaria Crizbav, reprezentant Inspectoratul Judetean Jandarmi, medic veterinar, reprezentant gestionar, apelant",CRIZBAV 13,,25.468714,45.813056,4621/15.10.2021,,,,,,,,,,,,,,,,,Mascul,"In jurul orei 07,40 am, a fost observat un urs pe cursul râului care traverseză localitatea Crizbav. Echipa a intervenit și a alungat ursul în zona pădurii Sideriaș prin cimitirul localității.",Alungat,Mirela Moisa
,COMARNIC,"reprez. UM 0756,  paznici vanat. AVPS Campina",COMARNIC 24,,547800.0,416750.0,12565/20.10.2021,,,,,,,,,,,,,,,,,Mascul,"Urs aflat in gradina particulara, alungat prin metode sonore",Alungat,Crina Popa
,CRIZBAV,"Reprezentant Primaria Crizbav, reprezentant Insp.Jud.de Jandarmi BV, medic veterinar, reprezentant gestionar(AVP Dopiresco),apelant",CRIZBAV 13,,25.46566,45.815084,4684/20.10.2021,,,,,,,,,,,,,,,,,Mascul,"În jurul orei 06,22 a fost observat un urs pe raza localității Crizbav, deplasându-se pe cursul râului din centrul localității; echipa de intervenție a alungat animalul prin cimitirul localității spre pădure (Sideriaș).",Alungat,Mirela Moisa
,BUGHEA DE SUS,jandarmerie,RAUL TARGULUI 18,,25.031837,45.295248,1501366 din 18.10.2021,,,,,,,,,,,,,,,,,Mascul,Echipajul de jandarmi imreuna cu persoana păgubită au identificat urme de urs și gardul rupt. Persoana păgubită a observat ca lipsește un porc. Ursul nu a fost găsit.,Alungat,Marius Dumitru
,COMARNIC,"Primar, reprez. UM 0756, medic veterinar, paznici vanat. AVPS Campina",COMARNIC 24,,550986.0,414518.0,12622/21.10.2021,,,,,,,,,,,,,,,,,Mascul,Alungare prin metode sonore si cu fascicule luminoase,Alungat,Crina Popa
