_row_id,event_type,judet,uat,data,lat,long,fond_cinegetic,numar_raport,nr_identificare,echipa_interventie,sex_urs,descriere_eveniment,metoda_interventie,adaugat_de,coord_status
20_alungare,alungare,Argeș,RUCĂR,,45.383843,25.167023,STOENESTI 20,1500829 din 27.08.2021,,"Jandarmerie, Fond cinegetic",Mascul,"Urs de talie mică în gospodărie, ora 23. Echipa de intervenție nu a găsit ursul, nu au fost pagube.",Alungat,Marius Dumitru,
21_alungare,alungare,Argeș,RUCĂR,,45.404931,25.160894,STOENESTI 20,1500842 din 30.08.2021,,"Jandarmerie, Primăria Rucăr, Gestionar Fond cinegetic",Mascul,Urs în gospodărie ora 5. Ursul a rănit un porc. Urs de talie mare. A fost alungat cu mijloace acustice și luminoase.,Alungat,Marius Dumitru,
22_alungare,alungare,Buzău,BISOCA,,45.541874,26.654178,VINTILA VODA 40,,,"repez IJJ Buzau, reprez.UAT Bisoca,",,"echipa de intervenție  s-a intrunit ca urmare a unui apel 112 , ursul a fost alungat din zona gospodăriilor",Alungat,Ioana Diaconescu,
23_alungare,alungare,Buzău,BISOCA,,45.541874,26.654178,VINTILA VODA 40,,,"reprezentant  IJJ Buzau, reprezentant UAT",,"echipa  de intervenție s-a intrunit  , apel 112, ursul nu mai era in zona",Alungat,Ioana Diaconescu,
24_alungare,alungare,Buzău,BISOCA,,45.541874,26.654178,VINTILA VODA 40,,,"reprezentant IJJ Bz,  reprez  UAT",,Echipa de intervenție a alungat ursul din zona gospadariilor,Alungat,Ioana Diaconescu,
25_alungare,alungare,Buzău,BISOCA,,45.541874,26.654178,VINTILA VODA 40,,,"reprez IJJ, reprez UAT",,"echipa a fost la fata locului dupa un apel 112, ursul nu a mai fost gasit in zona",Alungat,Ioana Diaconescu,
26_alungare,alungare,Buzău,BISOCA,,45.541874,26.654178,VINTILA VODA 40,,,"reprez IJJ Buzau, reprez UAT",,echipa de intervenție a alungat 2 exemplare de urs ce se aflau in curtea unei gospodării sat Lacuri Bisoca,Alungat,Ioana Diaconescu,
27_alungare,alungare,Buzău,BISOCA,,45.541874,26.654178,VINTILA VODA 40,,,"reprezentant IJJ Bz, reprezentant UAT Bisoca, reprez AJVPS Bz",,Echipa a intreprins actiuni de alungare a unui exemplar de urs ce a patruns in gospodăriile localnicilor sat Lacuri,Alungat,Ioana Diaconescu,
28_alungare,alungare,Argeș,DÂMBOVICIOARA,,45.301981,25.120350,DAMBOVICIOARA 23,1500885 din 03.09.2021,,"Jandarmerie, Primarie, Fond cinegetic",Mascul,In gospodarie a fos gasit un porc ranit. S-a patrulat cu semnale acustice si luminoase.,Alungat,Petruta Ghica,swapped
29_alungare,alungare,Argeș,RUCĂR,,45.407411,25.144779,RUCAR 22,1500911,,"Jandarmerie, Fond cinegetic",Mascul,"Urs patruns in proprietate particulara, ursul nu a fost gasit, nu au fost produse pagube materiale.",Alungat,Petruta Ghica,swapped
30_alungare,alungare,Argeș,RUCĂR,,45.406397,25.147853,RUCAR 22,1500922,,"Jandarmerie, Primarie, Fond Cinegetic",Mascul,"In grajdul din proprietatea aflata in intravilan,  a fost gasit un porc mort si unul ranit,. A fost identificat locul prin care a patruns ursul, respectiv podul grajdului. Ursul nu a fost vazut .",Alungat,Petruta Ghica,swapped
31_alungare,alungare,Argeș,RUCĂR,,45.398873,25.146723,RUCAR 22,1500922,,"Jnadarmerie, Fond cinegetic",Mascul,A fost semnalata prezenta unui urs in aproprierea locuintei. Echipa de interventie a patrulat folosind semnale acustice si luminoase. Ursul nu a mai fost vazut.,Alungat,Petruta Ghica,swapped
