denumire,status,stare,tip,remediere,culoare,Lat,Long
Anchor Group,functionale,Functionare normala,-,,#008217,44.428041,26.035828
6/2,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.426903832708,26.035865038927
3 Uverturii,functionale,Functionare normala,-,,#008217,44.4347554,26.0360035
5 Virtuții,functionale,Functionare normala,-,,#008217,44.43934,26.03602
SC 6/2,functionale,Functionare normala,-,,#008217,44.42692565918,26.036109
"Grădinița nr. 197, Școala nr. 117, Grădinița nr. 46",functionale,Functionare normala,-,,#008217,44.437649,26.036955
6/8,functionale,Functionare normala,-,,#008217,44.418546818548,26.036987910245
TELEKOM (SC Romtelecom SA),functionale,Functionare normala,-,,#008217,44.421919,26.037826
Depou Metrou Ciurel,functionale,Functionare normala,-,,#008217,44.440743,26.03786
7 Virtuții,functionale,Functionare normala,-,,#008217,44.44159,26.03789
2 Bucurestii Noi,functionale,Functionare normala,-,,#008217,44.485253685485,26.037961082459
1 Bucurestii Noi,functionale,Functionare normala,-,,#008217,44.487646,26.038117
1/8,functionale,Functionare normala,-,,#008217,44.422069819518,26.038736567864
Sere POLITEHNICA,functionale,Functionare normala,-,,#008217,44.440132,26.038781
2 Uverturii,functionale,Functionare normala,-,,#008217,44.435078654427,26.039216416695
3/2,functionale,Functionare normala,-,,#008217,44.42399611775,26.039559592789
1 Uverturii,functionale,Functionare normala,-,,#008217,44.437333766834,26.039619252277
Ansamblul QUADRA PLACE I,functionale,Functionare normala,-,,#008217,44.439567,26.039708
4/8,functionale,Functionare normala,-,,#008217,44.419196639476,26.040015429137
2 Crivina,functionale,Functionare normala,-,,#008217,44.453487612242,26.040573269281
10 Bucurestii Noi,functionale,Functionare normala,-,,#008217,44.485008,26.040687
PT Loc. ICAB,functionale,Functionare normala,-,,#008217,44.4343974,26.0410397
G3 Giulești,functionale,Functionare normala,-,,#008217,44.46146,26.041248
ARTIM SOCOM,functionale,Functionare normala,-,,#008217,44.46387,26.04128
J Giulești,functionale,Functionare normala,-,,#008217,44.458141499999996,26.0416601
SC 7/2,functionale,Functionare normala,-,,#008217,44.427387237549,26.041791
7/2,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.427387,26.041792
6 Bucurestii Noi,functionale,Functionare normala,-,,#008217,44.482855,26.042154
2/2,functionale,Functionare normala,-,,#008217,44.424630315239,26.042418514384
"Liceul Teoretic ""Tudor Vladimirescu""",functionale,Functionare normala,-,,#008217,44.43374,26.04255
2 Politehnicii,functionale,Functionare normala,-,,#008217,44.435890415618,26.042932802699
"Grădinița nr. 41, Școala Gimanziala nr. 59",functionale,Functionare normala,-,,#008217,44.41744,26.043084
Grup Gospodăresc (Gradinița),functionale,Functionare normala,-,,#008217,44.438281,26.043186
B Giulești,functionale,Functionare normala,-,,#008217,44.4619876,26.0433243
UM 0411-BCRMTEA,functionale,Functionare normala,-,,#008217,44.429837,26.043407
17-19 Bucurestii Noi,functionale,Functionare normala,-,,#008217,44.478933,26.043492
2/10,functionale,Functionare normala,-,,#008217,44.418239286309,26.043530378481
Ansamblul QUADRA PLACE II,functionale,Functionare normala,-,,#008217,44.439015,26.043583
1 Crivina,functionale,Functionare normala,-,,#008217,44.454824144279,26.043615393435
LONG BRIDGE SUNLIGHTS,functionale,Functionare normala,-,,#008217,44.439376,26.044197
2/8,functionale,Functionare normala,-,,#008217,44.422636178552,26.04442817093
3/10,functionale,Functionare normala,-,,#008217,44.416947282838,26.044735876456
3 Crivina,functionale,Functionare normala,-,,#008217,44.455289994279,26.044981731707
1 Giulești,functionale,Functionare normala,-,,#008217,44.4603136,26.0450326
Școala Gimnazială Nr. 163,functionale,Functionare normala,-,,#008217,44.46198,26.04565
MILITARI -  6 Placare,functionale,Functionare normala,-,,#008217,44.432277319311,26.045785086266
CET LABORATOR,functionale,Functionare normala,-,,#008217,44.438385,26.046109
Hrisovului,functionale,Functionare normala,-,,#008217,44.480678459507,26.046482325849
5/8,functionale,Functionare normala,-,,#008217,44.421144249979,26.046556354265
3/8,functionale,Functionare normala,-,,#008217,44.420101028481,26.046797945084
4 Crivina,functionale,Functionare normala,-,,#008217,44.454426324917,26.047247181757
UM 0780 (0350)-RAMI,functionale,Functionare normala,-,,#008217,44.430341,26.047251
Hala TTI,functionale,Functionare normala,-,,#008217,44.437358,26.047439
1/10,functionale,Functionare normala,-,,#008217,44.419097900391,26.04747
Facultatea Electrotehnica,functionale,Functionare normala,-,,#008217,44.436187,26.047777
Inst. Prospectiuni Geologic al Romaniei (Preluat de ANAF),avarii,Remediere avarie circuit primar -  Calea Grivitei,Oprire ACC,24.08.2024 23:30,#e0002b,44.467169,26.047781
8 Crivina,functionale,Functionare normala,-,,#008217,44.457527102382,26.048227757177
Facultatea de Hidroenergetică,functionale,Functionare normala,-,,#008217,44.438171,26.048603
4/10,functionale,Functionare normala,-,,#008217,44.416464507807,26.048799604653
"S.G.A. Ilfov-Bucureşti, Administratia Nationala Apele Romane)",functionale,Functionare normala,-,,#008217,44.446459,26.049077
O Chibrit,functionale,Functionare normala,-,,#008217,44.471725,26.049132
N Chibrit,functionale,Functionare normala,-,,#008217,44.471235,26.049255
S.C. AMA (ELMEF PROD),functionale,Functionare normala,-,,#008217,44.433996,26.049469
MINISTERUL ECONOMIEI (CPPIB),functionale,Functionare normala,-,,#008217,44.428641999999996,26.049566
Hala TCM,functionale,Functionare normala,-,,#008217,44.4409,26.049607
Facultatea de Mecanică,functionale,Functionare normala,-,,#008217,44.4409,26.049607
Liceul Mircea Eliade,functionale,Functionare normala,-,,#008217,44.443393,26.04977
PLAVAT,deficiente,Lipsa parametri pentru livrare apă caldă de consum,Deficienta ACC,23.08.2024 20:00,#ffe53e,44.44942855835,26.049877
MAN,functionale,Functionare normala,-,,#008217,44.423341128595,26.049942323151
MODUL TERMIC A3,functionale,Functionare normala,-,,#008217,44.4788,26.050096
MODUL TERMIC A5,functionale,Functionare normala,-,,#008217,44.481968,26.050382
D Chibrit,functionale,Functionare normala,-,,#008217,44.472168,26.050519
Colegiul Tehnic Petru Maior,functionale,Functionare normala,-,,#008217,44.428785,26.050588
ISCH,functionale,Functionare normala,-,,#008217,44.446949005127,26.050588
MODUL TERMIC Vila 10,functionale,Functionare normala,-,,#008217,44.481323,26.050592
MODUL TERMIC F4,avarii,Remediere avarie circuit primar,Oprire ACC,23.08.2024 23:30,#e0002b,44.483205,26.0506
Direcția de impozite și taxe locale Sector 6,functionale,Functionare normala,-,,#008217,44.425635,26.050609
UM 02296,functionale,Functionare normala,-,,#008217,44.433835,26.050671
MODUL TERMIC H4,functionale,Functionare normala,-,,#008217,44.480488,26.050703
MODUL TERMIC A2,functionale,Functionare normala,-,,#008217,44.478953,26.050724
MODUL TERMIC Vila 11,functionale,Functionare normala,-,,#008217,44.482092,26.050839
MODUL TERMIC A12,functionale,Functionare normala,-,,#008217,44.479724,26.050934
7 Giulești,functionale,Functionare normala,-,,#008217,44.4589043,26.051079
MODUL TERMIC A1,functionale,Functionare normala,-,,#008217,44.479201,26.051083
MODUL TERMIC Vila 3,functionale,Functionare normala,-,,#008217,44.480034,26.051088
MODUL TERMIC B3,functionale,Functionare normala,-,,#008217,44.481556,26.051114
1/1,functionale,Functionare normala,-,,#008217,44.42696762085,26.051141
MODUL TERMIC Vila 4,functionale,Functionare normala,-,,#008217,44.480327,26.0512
10 Giulești,functionale,Functionare normala,-,,#008217,44.4579871,26.0512152
MODUL TERMIC Vila 12A,functionale,Functionare normala,-,,#008217,44.482104,26.051267
Campus Studenți Noul Local UPB,functionale,Functionare normala,-,,#008217,44.438233,26.051395
MODUL TERMIC Vila 8,functionale,Functionare normala,-,,#008217,44.480969,26.051469
MODUL TERMIC Vila 2,functionale,Functionare normala,-,,#008217,44.479996,26.051531
MODUL TERMIC Vila 12B,functionale,Functionare normala,-,,#008217,44.482273,26.051637
MODUL TERMIC G5,functionale,Functionare normala,-,,#008217,44.482575,26.051637
MODUL TERMIC A13,functionale,Functionare normala,-,,#008217,44.479559,26.051656
MODUL TERMIC C3,functionale,Functionare normala,-,,#008217,44.481706,26.051687
MODUL TERMIC Vila 5,functionale,Functionare normala,-,,#008217,44.480845,26.051813
MODUL TERMIC Vila 13,functionale,Functionare normala,-,,#008217,44.482211,26.051954
MODUL TERMIC B9,functionale,Functionare normala,-,,#008217,44.480313,26.052044
5 Crivina,functionale,Functionare normala,-,,#008217,44.454914193139,26.052173115492
MODUL TERMIC Vila 7B,functionale,Functionare normala,-,,#008217,44.480597,26.052261
MODUL TERMIC D3,functionale,Functionare normala,-,,#008217,44.481652,26.052261
MODUL TERMIC Vila 9,functionale,Functionare normala,-,,#008217,44.480983,26.052355
Facultatea de Metalurgie,functionale,Functionare normala,-,,#008217,44.439355,26.052568
MODUL Vila 7A,functionale,Functionare normala,-,,#008217,44.481123,26.052725
2 Prefabricate,avarii,Remediere avarie circuit primar -  Calea Grivitei,Oprire ACC,24.08.2024 23:30,#e0002b,44.468654,26.05276
MODUL TERMIC E3,functionale,Functionare normala,-,,#008217,44.482351,26.052806
MODUL TERMIC P11,functionale,Functionare normala,-,,#008217,44.483532,26.052839
